age,gender,income,education,purchase_frequency,last_purchase_amount
20,Male,30000,Master,Monthly,20
61,Female,98005,Master,Weekly,116
23,Female,55088,High School,Bi-Weekly,52
45,Female,64476,High School,Yearly,134
28,Female,63592,PhD,Monthly,110
64,Female,107665,High School,Yearly,250
20,Male,46207,Master,Monthly,51
26,Male,30000,PhD,Weekly,20
19,Male,37144,PhD,Weekly,20
42,Female,73095,PhD,Bi-Weekly,107
51,Female,79517,PhD,Monthly,125
67,Male,116674,Master,Monthly,200
63,Female,103478,PhD,Weekly,100
50,Male,71569,Bachelor,Yearly,145
68,Female,103058,Master,Monthly,195
25,Female,34227,Bachelor,Monthly,25
39,Female,70384,Bachelor,Yearly,130
45,Male,73903,High School,Monthly,123
24,Male,48811,Bachelor,Yearly,74
48,Male,78312,PhD,Bi-Weekly,106
22,Female,35504,Bachelor,Weekly,20
33,Female,47454,PhD,Bi-Weekly,29
37,Male,44687,Bachelor,Yearly,75
59,Female,99280,High School,Monthly,184
29,Female,44076,Bachelor,Monthly,64
38,Male,48255,PhD,Weekly,40
59,Female,113674,PhD,Monthly,202
36,Female,41560,PhD,Monthly,45
57,Male,110890,High School,Bi-Weekly,172
31,Female,54687,Bachelor,Weekly,53
50,Male,68229,Bachelor,Bi-Weekly,98
64,Male,119208,Master,Monthly,207
56,Male,110417,Master,Weekly,116
39,Female,52593,Master,Weekly,52
43,Female,60817,Master,Weekly,61
69,Female,108889,Bachelor,Weekly,104
34,Female,74031,High School,Yearly,158
55,Male,96128,Bachelor,Bi-Weekly,124
66,Male,111259,Master,Monthly,194
69,Male,100154,Bachelor,Weekly,104
53,Female,97732,High School,Weekly,124
66,Male,95267,High School,Monthly,162
34,Female,66958,PhD,Weekly,71
32,Female,59755,PhD,Weekly,55
68,Male,107696,PhD,Weekly,103
60,Female,105043,High School,Monthly,187
26,Female,30000,Master,Weekly,20
18,Male,30000,High School,Monthly,20
24,Male,52224,Master,Weekly,60
38,Female,52132,High School,Yearly,96
50,Male,95932,PhD,Bi-Weekly,136
62,Male,94486,High School,Yearly,204
23,Male,42402,Bachelor,Monthly,56
58,Female,105687,PhD,Weekly,120
23,Female,36393,PhD,Yearly,40
51,Female,67651,High School,Yearly,147
58,Female,84101,Master,Monthly,144
34,Female,72872,High School,Monthly,127
20,Male,51955,Bachelor,Weekly,58
65,Male,89477,High School,Bi-Weekly,105
31,Male,49435,High School,Monthly,55
41,Female,56594,High School,Bi-Weekly,57
31,Female,66857,Master,Yearly,138
30,Male,39780,Bachelor,Yearly,46
49,Male,75722,PhD,Yearly,141
46,Male,79519,Master,Yearly,186
58,Male,76324,Master,Weekly,74
45,Male,84363,High School,Weekly,87
20,Male,53089,Master,Weekly,34
36,Male,51826,High School,Monthly,59
41,Male,80582,Master,Yearly,177
34,Female,51881,Master,Monthly,57
52,Male,94760,PhD,Yearly,215
58,Male,102751,High School,Yearly,235
58,Male,97567,High School,Yearly,217
42,Female,52357,High School,Weekly,35
28,Female,46204,PhD,Bi-Weekly,50
39,Male,83461,High School,Weekly,98
32,Female,43550,High School,Yearly,54
38,Female,51121,Bachelor,Monthly,86
55,Female,87358,Master,Weekly,101
68,Female,94258,Bachelor,Weekly,87
40,Female,84934,High School,Weekly,85
37,Male,40987,PhD,Yearly,64
37,Male,60248,PhD,Yearly,117
18,Female,38498,High School,Yearly,69
50,Male,95455,Bachelor,Yearly,226
29,Female,37746,Master,Bi-Weekly,21
45,Female,61541,PhD,Yearly,124
51,Male,83163,High School,Monthly,132
18,Male,47464,High School,Weekly,57
28,Female,55130,Master,Monthly,70
33,Female,48116,PhD,Bi-Weekly,58
52,Male,101263,Bachelor,Bi-Weekly,123
45,Male,86725,Bachelor,Bi-Weekly,127
67,Female,94282,Bachelor,Monthly,177
19,Male,31045,Bachelor,Bi-Weekly,20
58,Male,74711,PhD,Bi-Weekly,82
34,Male,54984,Bachelor,Monthly,70
47,Male,91430,Bachelor,Monthly,148
52,Female,91144,Bachelor,Monthly,144
21,Female,30000,PhD,Bi-Weekly,22
18,Male,47270,Master,Bi-Weekly,61
61,Male,94290,PhD,Yearly,213
57,Male,97877,High School,Weekly,113
54,Female,107307,Master,Yearly,250
64,Female,122937,High School,Bi-Weekly,170
35,Female,56240,Bachelor,Monthly,85
47,Male,96333,Master,Monthly,175
53,Female,92446,PhD,Monthly,144
33,Male,51069,Bachelor,Yearly,86
24,Female,35205,High School,Monthly,30
60,Male,86050,Bachelor,Yearly,193
26,Male,43983,PhD,Monthly,47
62,Male,93008,PhD,Weekly,95
25,Female,42491,Bachelor,Monthly,65
25,Male,30000,Bachelor,Bi-Weekly,20
41,Female,85643,High School,Monthly,126
65,Male,123631,High School,Weekly,133
56,Female,94815,Master,Monthly,155
29,Male,33401,Master,Weekly,20
51,Male,71118,High School,Bi-Weekly,90
53,Female,98236,High School,Monthly,159
43,Male,83962,Master,Yearly,182
30,Male,36924,Bachelor,Bi-Weekly,25
65,Male,102154,Bachelor,Weekly,117
28,Female,45774,PhD,Yearly,65
23,Female,37244,High School,Weekly,24
49,Female,65308,Bachelor,Yearly,129
26,Female,55074,Bachelor,Monthly,58
57,Female,100871,PhD,Weekly,102
58,Male,77599,Master,Weekly,68
48,Male,59035,High School,Weekly,66
58,Male,112351,High School,Weekly,125
54,Male,80591,Master,Weekly,100
46,Female,59575,Master,Yearly,99
60,Female,92667,High School,Weekly,83
34,Male,42728,Bachelor,Weekly,22
38,Female,45519,Master,Yearly,66
59,Male,113309,PhD,Monthly,193
48,Male,69291,Bachelor,Weekly,68
22,Male,30000,PhD,Weekly,20
45,Female,67861,Bachelor,Yearly,134
58,Male,83530,PhD,Monthly,142
52,Female,69227,PhD,Yearly,144
34,Female,50536,High School,Weekly,55
29,Female,64438,PhD,Monthly,103
55,Female,94214,High School,Monthly,176
38,Female,,PhD,Weekly,20
32,Male,35915,PhD,Bi-Weekly,20
70,Male,108279,Bachelor,Monthly,206
29,Female,58651,PhD,Monthly,63
63,Male,120278,PhD,Yearly,250
61,Female,101225,PhD,Yearly,219
51,Female,74539,Master,Weekly,74
62,Female,81389,High School,Monthly,139
43,Female,76063,Bachelor,Yearly,170
58,Female,103569,PhD,Bi-Weekly,136
27,Female,56189,PhD,Yearly,121
68,Male,119679,Master,Weekly,121
67,Male,95027,Bachelor,Weekly,116
32,Male,54914,PhD,Bi-Weekly,42
22,Female,54663,PhD,Monthly,83
27,Male,60991,Master,Yearly,131
35,Male,66908,High School,Weekly,77
70,Female,120044,Bachelor,Bi-Weekly,166
33,Male,43311,Bachelor,Monthly,47
47,Female,82353,High School,Weekly,98
54,Male,82368,PhD,Bi-Weekly,121
52,Male,96514,PhD,Yearly,215
33,Male,34817,Bachelor,Bi-Weekly,22
70,Male,98447,Bachelor,Yearly,234
41,Male,79071,Bachelor,Yearly,155
52,Male,74728,High School,Bi-Weekly,97
47,Male,95508,High School,Weekly,92
31,Male,66776,Bachelor,Bi-Weekly,66
18,Male,31505,High School,Weekly,20
19,Male,30000,Bachelor,Weekly,20
49,Male,95024,High School,Bi-Weekly,133
57,Male,97069,PhD,Monthly,148
60,Male,114729,Bachelor,Monthly,190
70,Female,98504,Bachelor,Yearly,237
50,Female,79497,High School,Weekly,60
38,Male,61067,Master,Bi-Weekly,56
34,Female,37514,Bachelor,Monthly,28
24,Male,30000,Bachelor,Weekly,33
22,Female,30000,Master,Monthly,20
36,Female,50063,PhD,Yearly,105
47,Female,68532,High School,Bi-Weekly,77
60,Male,78187,Master,Bi-Weekly,85
49,Male,95824,High School,Bi-Weekly,128
68,Male,116471,High School,Bi-Weekly,156
38,Female,71123,High School,Yearly,129
48,Female,65187,Bachelor,Bi-Weekly,88
27,Female,37011,Master,Weekly,26
40,Female,55079,Master,Monthly,59
41,Female,63791,PhD,Monthly,75
35,Male,67109,Master,Bi-Weekly,94
58,Female,111062,Master,Monthly,209
63,Female,110438,High School,Monthly,195
33,Female,58797,Master,Monthly,72
45,Male,73881,PhD,Weekly,53
36,Female,74212,PhD,Weekly,70
64,Male,98524,Bachelor,Bi-Weekly,154
36,Male,57152,Bachelor,Yearly,105
32,Male,46330,PhD,Bi-Weekly,61
36,Female,57418,High School,Weekly,65
56,Male,77034,PhD,Yearly,152
67,Female,107886,PhD,Monthly,187
61,Female,109206,Master,Bi-Weekly,139
27,Female,61814,Master,Monthly,85
40,Female,56895,Bachelor,Bi-Weekly,67
53,Female,73232,High School,Weekly,72
49,Male,79393,High School,Yearly,166
57,Male,92947,PhD,Monthly,169
25,Male,37892,Bachelor,Bi-Weekly,47
52,Female,73017,Bachelor,Weekly,84
31,Female,66670,High School,Yearly,142
26,Male,58017,PhD,Monthly,62
64,Male,111319,High School,Bi-Weekly,172
47,Male,77247,PhD,Yearly,165
51,Male,88013,PhD,Yearly,212
51,Female,95170,PhD,Yearly,221
62,Female,106626,Bachelor,Bi-Weekly,158
19,Male,31790,Master,Weekly,20
34,Female,36318,Master,Yearly,43
57,Male,78873,High School,Bi-Weekly,106
30,Female,47511,High School,Weekly,22
67,Male,108646,High School,Bi-Weekly,150
50,Male,88870,High School,Yearly,198
48,Male,92526,High School,Bi-Weekly,125
43,Male,60286,Master,Monthly,86
52,Male,92114,Bachelor,Weekly,103
68,Male,124050,High School,Yearly,250
47,Male,82809,Bachelor,Monthly,150
69,Male,127034,PhD,Yearly,250
63,Female,122628,Bachelor,Yearly,250
49,Female,68016,High School,Yearly,124
40,Male,63866,Master,Monthly,75
62,Female,103822,Bachelor,Monthly,188
59,Female,79974,Bachelor,Weekly,73
19,Male,42941,PhD,Yearly,52
34,Female,73656,Bachelor,Bi-Weekly,103
61,Female,105537,Master,Monthly,199
41,Male,69874,Master,Bi-Weekly,75
22,Female,51392,Master,Monthly,71
52,Female,84935,High School,Yearly,168
29,Male,52906,Bachelor,Weekly,59
18,Female,30000,PhD,Bi-Weekly,22
37,Female,63624,PhD,Monthly,103
44,Female,66959,Bachelor,Weekly,54
34,Female,68061,Bachelor,Yearly,142
18,Female,30000,High School,Yearly,34
50,Male,93252,PhD,Weekly,99
56,Female,93067,Master,Yearly,229
24,Male,44857,PhD,Yearly,85
58,Female,95884,PhD,Weekly,102
38,Female,48304,Master,Bi-Weekly,64
23,Female,30000,Master,Weekly,20
52,Female,99925,Bachelor,Weekly,92
32,Female,32630,PhD,Monthly,41
69,Male,93104,PhD,Yearly,210
59,Female,115166,High School,Bi-Weekly,163
22,Male,30748,PhD,Yearly,20
44,Female,77229,High School,Weekly,72
39,Female,62293,Bachelor,Weekly,52
52,Male,87871,Master,Weekly,85
52,Male,97373,High School,Monthly,176
34,Male,74433,High School,Bi-Weekly,114
40,Female,62356,Bachelor,Bi-Weekly,66
39,Male,61221,Bachelor,Monthly,85
49,Male,60150,Bachelor,Monthly,69
51,Male,89968,Master,Weekly,79
68,Female,104254,Bachelor,Monthly,183
35,Female,57443,Bachelor,Bi-Weekly,54
20,Female,30000,Bachelor,Monthly,20
41,Female,69320,Master,Yearly,132
30,Male,30000,Bachelor,Bi-Weekly,21
22,Female,54346,PhD,Weekly,47
48,Male,96502,PhD,Bi-Weekly,133
32,Male,57886,Master,Weekly,34
48,Male,92495,PhD,Yearly,190
54,Male,74463,PhD,Weekly,78
20,Female,30000,High School,Monthly,32
60,Male,107728,PhD,Yearly,247
46,Female,84443,High School,Bi-Weekly,124
48,Male,59239,High School,Bi-Weekly,64
37,Female,65089,Master,Bi-Weekly,81
68,Female,116311,High School,Yearly,250
35,Female,72155,PhD,Weekly,67
55,Female,94668,PhD,Bi-Weekly,110
33,Male,49122,High School,Yearly,97
53,Female,97026,Master,Weekly,120
40,Male,67376,Bachelor,Yearly,120
52,Female,103042,High School,Monthly,162
50,Female,68969,PhD,Bi-Weekly,98
24,Female,36277,Bachelor,Yearly,67
69,Female,111497,PhD,Monthly,211
27,Female,64105,High School,Weekly,49
42,Female,49265,Bachelor,Bi-Weekly,43
50,Male,70400,PhD,Monthly,103
27,Female,40764,Master,Bi-Weekly,30
70,Female,95242,High School,Yearly,219
58,Male,81270,Master,Bi-Weekly,93
30,Female,38035,High School,Yearly,35
